Date,Temperature
2018/4/15,27
2018/4/16,19.8
2018/4/17,17.8
2018/4/18,18.3
2018/4/19,21.8
2018/4/20,24
2018/4/21,24.8
2018/4/22,25.2
2018/4/23,26
2018/4/24,27.8
2018/4/25,21.7
2018/4/26,20.6
2018/4/27,23.5
2018/4/28,24.2
2018/4/29,25.6
2018/4/30,26.2
2018/5/1,26.7
2018/5/2,27.7
2018/5/3,27.7
2018/5/4,22.5
2018/5/5,26.4
2018/5/6,27.6
2018/5/7,28.8
2018/5/8,29.7
2018/5/9,23.9
2018/5/10,21.8
2018/5/11,23
2018/5/12,25.2
2018/5/13,27
2018/5/14,27.1
2018/5/15,27.4
2018/5/16,28.7
2018/5/17,29.3
2018/5/18,28.8
2018/5/19,28.7
2018/5/20,28.8
2018/5/21,27.9
2018/5/22,27.5
2018/5/23,28.8
2018/5/24,25.2
2018/5/25,28.2
2018/5/26,29.3
2018/5/27,28.7
2018/5/28,30
2018/5/29,30.1
2018/5/30,29.8
2018/5/31,29.9
2018/6/1,28.5
2018/6/2,23.7
2018/6/3,26
2018/6/4,27.6
2018/6/5,28.8
2018/6/6,29.3
2018/6/7,28.8
2018/6/8,28.8
2018/6/9,28.7
2018/6/10,28.4
2018/6/11,28.8
2018/6/12,26.2
2018/6/13,29.7
2018/6/14,29.1
2018/6/15,27.8
2018/6/16,26.4
2018/6/17,26
2018/6/18,27.2
2018/6/19,29.3
2018/6/20,27.6
2018/6/21,27.9
2018/6/22,27.3
2018/6/23,29.4
2018/6/24,27.9
2018/6/25,29.2
2018/6/26,28.6
2018/6/27,28.7
2018/6/28,28.9
2018/6/29,30
2018/6/30,29.3
2018/7/1,27.1
2018/7/2,29.7
2018/7/3,29.7
2018/7/4,30.1
2018/7/5,30.4
2018/7/6,29.1
2018/7/7,29.9
2018/7/8,27.3
2018/7/9,28.4
2018/7/10,29.5
2018/7/11,28.1
2018/7/12,29.2
2018/7/13,28.2
2018/7/14,28.9
2018/7/15,29.4
2018/7/16,29.1
2018/7/17,29.7
2018/7/18,30.5
2018/7/19,30.4
2018/7/20,30.4
2018/7/21,28.4
2018/7/22,28.3
2018/7/23,28.7
2018/7/24,29.8
2018/7/25,28.1
2018/7/26,29.7
2018/7/27,29.6
2018/7/28,29.4
2018/7/29,28.9
2018/7/30,29.9
2018/7/31,29.8
2018/8/1,30.2
2018/8/2,30.3
2018/8/3,30.1
2018/8/4,29.7
2018/8/5,29.4
2018/8/6,28.8
2018/8/7,29.8
2018/8/8,30.2
2018/8/9,29.5
2018/8/10,29.7
2018/8/11,29.8
2018/8/12,28.8
2018/8/13,30
2018/8/14,29.5
2018/8/15,28.1
2018/8/16,28.9
2018/8/17,30
2018/8/18,29.9
2018/8/19,28.2
2018/8/20,27.3
2018/8/21,29.2
2018/8/22,28.6
2018/8/23,29.1
2018/8/24,27.1
2018/8/25,27.5
2018/8/26,27.8
2018/8/27,27.5
2018/8/28,26.7
2018/8/29,27.3
2018/8/30,27.3
2018/8/31,27
2018/9/1,28.2
2018/9/2,28
2018/9/3,28.2
2018/9/4,28.5
2018/9/5,29.5
2018/9/6,29
2018/9/7,28.7
2018/9/8,27.3
2018/9/9,26.5
2018/9/10,24.9
2018/9/11,26.5
2018/9/12,28.6
2018/9/13,28.8
2018/9/14,27.9
2018/9/15,27.6
2018/9/16,27.4
2018/9/17,27.8
2018/9/18,29
2018/9/19,28.8
2018/9/20,28.1
2018/9/21,28.5
2018/9/22,28.5
2018/9/23,28.4
2018/9/24,27.7
2018/9/25,26.3
2018/9/26,26.3
2018/9/27,25.6
2018/9/28,25
2018/9/29,23.3
2018/9/30,25.1
2018/10/1,21.7
2018/10/2,22.4
2018/10/3,22.2
2018/10/4,22.9
2018/10/5,22.8
2018/10/6,23.5
2018/10/7,24.2
2018/10/8,24
2018/10/9,24.8
2018/10/10,24.7
2018/10/11,23.8
2018/10/12,21.8
2018/10/13,20.3
2018/10/14,22.7
2018/10/15,24.3
2018/10/16,24.4
2018/10/17,22.7
2018/10/18,21.9
2018/10/19,22.2
2018/10/20,20.8
2018/10/21,20.6
2018/10/22,22.2
2018/10/23,22.7
2018/10/24,22.8
2018/10/25,22.3
2018/10/26,23.5
2018/10/27,24.1
2018/10/28,19.1
2018/10/29,17.8
2018/10/30,18.3
2018/10/31,22.2
2018/11/1,21.3
2018/11/2,21.4
2018/11/3,22.8
2018/11/4,24
2018/11/5,22.9
2018/11/6,22.8
2018/11/7,24
2018/11/8,24.1
2018/11/9,22.7
2018/11/10,23
2018/11/11,23.5
2018/11/12,22.4
2018/11/13,22.4
2018/11/14,20.9
2018/11/15,19.9
2018/11/16,22.5
2018/11/17,22.9
2018/11/18,21.9
2018/11/19,23.3
2018/11/20,20.2
2018/11/21,23.7
2018/11/22,22.4
2018/11/23,19.5
2018/11/24,17.7
2018/11/25,19.9
2018/11/26,20.4
2018/11/27,20.5
2018/11/28,20.5
2018/11/29,19.3
2018/11/30,18.6
2018/12/1,21.8
2018/12/2,20.6
2018/12/3,21.2
2018/12/4,20.8
2018/12/5,22.7
2018/12/6,22
2018/12/7,22
2018/12/8,19.1
2018/12/9,19
2018/12/10,19.6
2018/12/11,22.1
2018/12/12,17.7
2018/12/13,16.2
2018/12/14,18.5
2018/12/15,18.6
2018/12/16,20.7
2018/12/17,18.4
2018/12/18,15.6
2018/12/19,14.3
2018/12/20,16.4
2018/12/21,19.7
2018/12/22,21.8
2018/12/23,22.5
2018/12/24,18.9
2018/12/25,18.6
2018/12/26,21.3
2018/12/27,20.7
2018/12/28,16.4
2018/12/29,14.9
2018/12/30,14.9
2018/12/31,17.1
2019/1/1,17.9
2019/1/2,18.2
2019/1/3,19.1
2019/1/4,19.2
2019/1/5,19.7
2019/1/6,20.1
2019/1/7,18.4
2019/1/8,21.3
2019/1/9,20
2019/1/10,19.4
2019/1/11,21.3
2019/1/12,20.6
2019/1/13,18.6
2019/1/14,18.5
2019/1/15,18.7
2019/1/16,17.8
2019/1/17,15.8
2019/1/18,14.3
2019/1/19,16.1
2019/1/20,18.2
2019/1/21,14.9
2019/1/22,14.5
2019/1/23,12.6
2019/1/24,13.2
2019/1/25,14
2019/1/26,16.6
2019/1/27,14.8
2019/1/28,13.6
2019/1/29,15.6
2019/1/30,17.5
2019/1/31,17.4
2019/2/1,17.6
2019/2/2,19.1
2019/2/3,17.7
2019/2/4,21.4
2019/2/5,17.6
2019/2/6,19.4
2019/2/7,19.3
2019/2/8,18.4
2019/2/9,18
2019/2/10,17.3
2019/2/11,17.5
2019/2/12,17.1
2019/2/13,19.8
2019/2/14,19.1
2019/2/15,19.4
2019/2/16,23.1
2019/2/17,19.6
2019/2/18,19.7
2019/2/19,20.4
2019/2/20,21.2
2019/2/21,20.5
2019/2/22,19.1
2019/2/23,15.6
2019/2/24,14.6
2019/2/25,16.2
2019/2/26,17.4
2019/2/27,17.9
2019/2/28,19.6
2019/3/1,17.7
2019/3/2,19.6
2019/3/3,19.4
2019/3/4,17.3
2019/3/5,16.7
2019/3/6,18
2019/3/7,15.7
2019/3/8,12.7
2019/3/9,16.8
2019/3/10,19.5
2019/3/11,16.6
2019/3/12,16.2
2019/3/13,18.3
2019/3/14,19.4
2019/3/15,18.1
2019/3/16,18.6
2019/3/17,18.8
2019/3/18,19.7
2019/3/19,19.3
2019/3/20,21.9
2019/3/21,24.3
2019/3/22,23.7
2019/3/23,18.4
2019/3/24,15.7
2019/3/25,18.4
2019/3/26,19.4
2019/3/27,19.5
2019/3/28,22.7
2019/3/29,24.4
2019/3/30,19.8
2019/3/31,20.7
2019/4/1,18.1
2019/4/2,17.1
2019/4/3,20.3
2019/4/4,20.2
2019/4/5,20.7
2019/4/6,20.8
2019/4/7,22.8
2019/4/8,23.3
2019/4/9,24
2019/4/10,25.7
2019/4/11,21.9
2019/4/12,19.1
2019/4/13,18.9
2019/4/14,21.7
2019/4/15,20.4
2019/4/16,19
2019/4/17,20.7
2019/4/18,21.4
2019/4/19,24.2
2019/4/20,23
2019/4/21,23.7
2019/4/22,25.9
2019/4/23,28.2
2019/4/24,27.3
2019/4/25,25.3
2019/4/26,25.3
2019/4/27,25.2
2019/4/28,23.2
2019/4/29,23.7
2019/4/30,26.5
2019/5/1,26.6
2019/5/2,20
2019/5/3,19.1
2019/5/4,20.4
2019/5/5,22.4
2019/5/6,23.1
2019/5/7,19.9
2019/5/8,19.1
2019/5/9,21.4
2019/5/10,21.1
2019/5/11,22
2019/5/12,23.3
2019/5/13,25.6
2019/5/14,25
2019/5/15,25.9
2019/5/16,27
2019/5/17,27.3
2019/5/18,27.9
2019/5/19,26.6
2019/5/20,27.7
2019/5/21,22.6
2019/5/22,22.1
2019/5/23,22.5
2019/5/24,23.7
2019/5/25,25.1
2019/5/26,24.9
2019/5/27,26.5
2019/5/28,26.3
2019/5/29,21.7
2019/5/30,21.1
2019/5/31,25
2019/6/1,26.3
2019/6/2,26.5
2019/6/3,27.9
2019/6/4,28.8
2019/6/5,25.1
2019/6/6,27.9
2019/6/7,29.2
2019/6/8,29.6
2019/6/9,28.5
2019/6/10,30
2019/6/11,29.2
2019/6/12,24
2019/6/13,23.9
2019/6/14,27.3
2019/6/15,24
2019/6/16,25.3
2019/6/17,27.5
2019/6/18,27.1
2019/6/19,29.7
2019/6/20,29.1
2019/6/21,29.8
2019/6/22,29.6
2019/6/23,30
2019/6/24,25.9
2019/6/25,25.3
2019/6/26,25.8
2019/6/27,27.9
2019/6/28,29.2
2019/6/29,29.9
2019/6/30,28.9
2019/7/1,26.8
2019/7/2,28.5
2019/7/3,29.7
2019/7/4,30
2019/7/5,30
2019/7/6,30.3
2019/7/7,29.3
2019/7/8,30
2019/7/9,29.4
2019/7/10,30.1
2019/7/11,29
2019/7/12,28.8
2019/7/13,29.3
2019/7/14,29.7
2019/7/15,29.1
2019/7/16,29
2019/7/17,28.6
2019/7/18,29.7
2019/7/19,27.9
2019/7/20,28.6
2019/7/21,29.6
2019/7/22,29.3
2019/7/23,26.1
2019/7/24,27.6
2019/7/25,28.9
2019/7/26,29.3
2019/7/27,29.3
2019/7/28,25.9
2019/7/29,26.4
2019/7/30,28.9
2019/7/31,29.2
2019/8/1,29.7
2019/8/2,28
2019/8/3,28.1
2019/8/4,28.5
2019/8/5,30.2
2019/8/6,30.1
2019/8/7,28.4
2019/8/8,28.1
2019/8/9,27.7
2019/8/10,28.4
2019/8/11,30
2019/8/12,29.2
2019/8/13,29
2019/8/14,28.9
2019/8/15,28.7
2019/8/16,26.8
2019/8/17,27.3
2019/8/18,28.5
2019/8/19,26.1
2019/8/20,25.9
2019/8/21,26.8
2019/8/22,27.1
2019/8/23,28.6
2019/8/24,29.3
2019/8/25,28.1
2019/8/26,27.6
2019/8/27,28
2019/8/28,27.6
2019/8/29,28.3
2019/8/30,29.2
2019/8/31,26.6
2019/9/1,28.7
2019/9/2,27.5
2019/9/3,28.2
2019/9/4,28.3
2019/9/5,26.3
2019/9/6,26.1
2019/9/7,28.6
2019/9/8,28.4
2019/9/9,27.6
2019/9/10,28
2019/9/11,28.3
2019/9/12,28.3
2019/9/13,28
2019/9/14,27.1
2019/9/15,27.3
2019/9/16,26
2019/9/16,27
2019/9/18,28.8
2019/9/19,25
2019/9/20,24
2019/9/21,22.9
2019/9/22,23.2
2019/9/23,23.8
2019/9/24,22.8
2019/9/25,22.4
2019/9/26,21.7
2019/9/27,23.8
2019/9/28,24.2
2019/9/29,24.6
2019/9/30,26
2019/10/1,23
2019/10/2,26.6
2019/10/3,26.6
2019/10/4,26.5
2019/10/5,26.3
2019/10/6,26.5
2019/10/7,26.7
2019/10/8,26.5
2019/10/9,25.4
2019/10/10,25.3
2019/10/11,24.5
2019/10/12,25.7
2019/10/13,25.8
2019/10/14,25.6
2019/10/15,25.1
2019/10/16,23.4
2019/10/17,23.9
2019/10/18,22.3
2019/10/19,22.5
2019/10/20,21.9
2019/10/21,22.6
2019/10/22,20.8
2019/10/23,22
2019/10/24,21.8
2019/10/25,22.5
2019/10/26,22.2
2019/10/27,22.1
2019/10/28,22.4
2019/10/29,22.1
2019/10/30,22.2
2019/10/31,22.3
2019/11/1,23.9
2019/11/2,22.5
2019/11/3,23.3
2019/11/4,22.5
2019/11/5,21.8
2019/11/6,21.4
2019/11/7,20.6
2019/11/8,21.9
2019/11/9,20.9
2019/11/10,17.7
2019/11/11,19
2019/11/12,18.9
2019/11/13,20.5
2019/11/14,22.3
2019/11/15,19.6
2019/11/16,18.8
2019/11/17,22.4
2019/11/18,20.5
2019/11/19,19.4
2019/11/20,18.8
2019/11/21,18.9
2019/11/22,20.7
2019/11/23,22.4
2019/11/24,21.8
2019/11/25,22.3
2019/11/26,20.4
2019/11/27,19.9
2019/11/28,20.5
2019/11/29,17.7
2019/11/30,17
2019/12/1,20.5
2019/12/2,20.2
2019/12/3,15.4
2019/12/4,16.9
2019/12/5,15.7
2019/12/6,15.4
2019/12/7,14.4
2019/12/8,15.1
2019/12/9,13.2
2019/12/10,15.6
2019/12/11,16.2
2019/12/12,17.5
2019/12/13,15.6
2019/12/14,16.9
2019/12/15,17.6
2019/12/16,17.8
2019/12/17,18.9
2019/12/18,20.9
2019/12/19,19.4
2019/12/20,17.9
2019/12/21,18.8
2019/12/22,19
2019/12/23,18.7
2019/12/24,19.6
2019/12/25,19.2
2019/12/26,20.4
2019/12/27,17.2
2019/12/28,15.5
2019/12/29,19.8
2019/12/30,19.7
2019/12/31,19.4
2020/1/1,15.3
2020/1/2,16.1
2020/1/3,17
2020/1/4,18.4
2020/1/5,19.3
2020/1/6,19.6
2020/1/7,17.9
2020/1/8,18.2
2020/1/9,15.3
2020/1/10,17.3
2020/1/11,18.4
2020/1/12,17.7
2020/1/13,15.2
2020/1/14,16.5
2020/1/15,16.2
2020/1/16,17.5
2020/1/17,17.7
2020/1/18,14.2
2020/1/19,14.6
2020/1/20,15
2020/1/21,13.8
2020/1/22,16.9
2020/1/23,18.9
2020/1/24,19.1
2020/1/25,18.5
2020/1/26,17.8
2020/1/27,16.3
2020/1/28,13.8
2020/1/29,11.9
2020/1/30,11
2020/1/31,11.7
2020/2/1,9.8
2020/2/2,11.5
2020/2/3,15.3
2020/2/4,16.5
2020/2/5,16
2020/2/6,14.2
2020/2/7,16.7
2020/2/8,14.7
2020/2/9,14.4
2020/2/10,12
2020/2/11,14.9
2020/2/12,16
2020/2/13,18.9
2020/2/14,18.4
2020/2/15,17.2
2020/2/16,19.8
2020/2/17,8.2
2020/2/18,9.4
2020/2/19,9.8
2020/2/20,13.3
2020/2/21,13.7
2020/2/22,14.3
2020/2/23,15.6
2020/2/24,15.5
2020/2/25,18.6
2020/2/26,20.9
2020/2/27,20
2020/2/28,19.4
2020/2/29,19
2020/3/1,20.9
2020/3/2,18
2020/3/3,16.1
2020/3/4,19.9
2020/3/5,17
2020/3/6,15.9
2020/3/7,21.3
2020/3/8,22.8
2020/3/9,19.2
2020/3/10,25.4
2020/3/11,16.6
2020/3/12,18.3
2020/3/13,19.4
2020/3/14,20
2020/3/15,16
2020/3/16,16.3
2020/3/17,21.2
2020/3/18,19.8
2020/3/19,20.5
2020/3/20,20.9
2020/3/21,22.2
2020/3/22,25.1
2020/3/23,24.9
2020/3/24,22.1
2020/3/25,23
2020/3/26,23.3
2020/3/27,25.9
2020/3/28,24.7
2020/3/29,16
2020/3/30,20.2
2020/3/31,19.7
2020/4/1,21.2
2020/4/2,17
2020/4/3,18.8
2020/4/4,18
2020/4/5,16.7
2020/4/6,15.3
2020/4/7,17.4
2020/4/8,15.8
2020/4/9,18.3
2020/4/10,17.6
2020/4/11,22.3
2020/4/12,19.2
2020/4/13,14.6
2020/4/14,14.5
2020/4/15,19.9
2020/4/16,19.5
2020/4/17,20.4
2020/4/18,22.5
2020/4/19,24.6
2020/4/20,25.8
2020/4/21,24.4
2020/4/22,20.7
2020/4/23,19.3
2020/4/24,16.2
2020/4/25,17.1
2020/4/26,19.9
2020/4/27,20.1
2020/4/28,21.2
2020/4/29,22.4
2020/4/30,23.1
2020/5/1,23.8
2020/5/2,24.7
2020/5/3,27.2
2020/5/4,26.7
2020/5/5,27
2020/5/6,30.1
2020/5/7,27.9
2020/5/8,27
2020/5/9,29.8
2020/5/10,29.9
2020/5/11,29.9
2020/5/12,25.5
2020/5/13,23.2
2020/5/14,26.2
2020/5/15,27.4
2020/5/16,27.4
2020/5/17,24.8
2020/5/18,26.8
2020/5/19,27.4
2020/5/20,23.8
2020/5/21,25.6
2020/5/22,24.7
2020/5/23,25.5
2020/5/24,26
2020/5/25,29.5
2020/5/26,25.8
2020/5/27,26.7
2020/5/28,23.2
2020/5/29,24
2020/5/30,25.3
2020/5/31,28.7
2020/6/1,28
2020/6/2,28.1
2020/6/3,28.6
2020/6/4,26.5
2020/6/5,29.4
2020/6/6,30.1
2020/6/7,30
2020/6/8,27.4
2020/6/9,27.7
2020/6/10,30.5
2020/6/11,28.8
2020/6/12,28.2
2020/6/13,28
2020/6/14,30.9
2020/6/15,28.2
2020/6/16,28.7
2020/6/17,30
2020/6/18,28.8
2020/6/19,31.7
2020/6/20,29.1
2020/6/21,29.3
2020/6/22,30.4
2020/6/23,29.6
2020/6/24,30.3
2020/6/25,32.2
2020/6/26,31
2020/6/27,30.1
2020/6/28,31.7
2020/6/29,30.2
2020/6/30,30.3
2020/7/1,29.8
2020/7/2,28.7
2020/7/3,29.4
2020/7/4,30.4
2020/7/5,31.1
2020/7/6,30.3
2020/7/7,30.6
2020/7/8,30.6
2020/7/9,30.9
2020/7/10,32
2020/7/11,30.2
2020/7/12,30.3
2020/7/13,30.7
2020/7/14,30.2
2020/7/15,30.4
2020/7/16,30.9
2020/7/17,30.9
2020/7/18,31.2
2020/7/19,30.9
2020/7/20,31.1
2020/7/21,28.3
2020/7/22,29.8
2020/7/23,29.6
2020/7/24,30.3
2020/7/25,30.3
2020/7/26,30.5
2020/7/27,31.3
2020/7/28,29.8
2020/7/29,27.9
2020/7/30,29.8
2020/7/31,30.3
2020/8/1,30.4
2020/8/2,29.6
2020/8/3,29.5
2020/8/4,29.7
2020/8/5,27.7
2020/8/6,29.8
2020/8/7,30.4
2020/8/8,29.6
2020/8/9,29.4
2020/8/10,29.9
2020/8/11,28
2020/8/12,27.8
2020/8/13,27.8
2020/8/14,29.1
2020/8/15,29.2
2020/8/16,26.4
2020/8/17,27.6
2020/8/18,28.9
2020/8/19,28.4
2020/8/20,29.4
2020/8/21,30.3
2020/8/22,29.6
2020/8/23,28.2
2020/8/24,29.6
2020/8/25,29.9
2020/8/26,30.5
2020/8/27,31
2020/8/28,28.4
2020/8/29,29.4
2020/8/30,28.7
2020/8/31,28.4
2020/9/1,28
2020/9/2,29.6
2020/9/3,30.5
2020/9/4,28.5
2020/9/5,28.2
2020/9/6,26.8
2020/9/7,25.8
2020/9/8,29.4
2020/9/9,28.9
2020/9/10,28.7
2020/9/11,28.9
2020/9/12,29.6
2020/9/13,28.1
2020/9/14,28.2
2020/9/15,29.2
2020/9/16,29
2020/9/17,29.6
2020/9/18,29.3
2020/9/19,29.9
2020/9/20,28.3
2020/9/21,27.1
2020/9/22,26.4
2020/9/23,25.8
2020/9/24,26.7
2020/9/25,24.7
2020/9/26,26.4
2020/9/27,24.8
2020/9/28,24.1
2020/9/29,24.1
2020/9/30,25.3
2020/10/1,23.6
2020/10/2,24.9
2020/10/3,26.3
2020/10/4,26.9
2020/10/5,27
2020/10/6,24.4
2020/10/7,24.1
2020/10/8,24.4
2020/10/9,24.7
2020/10/10,24.2
2020/10/11,24.4
2020/10/12,27.3
2020/10/13,27.1
2020/10/14,25.9
2020/10/15,25.8
2020/10/16,25.2
2020/10/17,24.9
2020/10/18,23.3
2020/10/19,22.9
2020/10/20,24.2
2020/10/21,25.4
2020/10/22,24.9
2020/10/23,21.1
2020/10/24,21.6
2020/10/25,21.4
2020/10/26,22
2020/10/27,22.7
2020/10/28,24.3
2020/10/29,24.3
2020/10/30,24
2020/10/31,21.8
2020/11/1,20.3
2020/11/2,22.8
2020/11/3,22.5
2020/11/4,20.7
2020/11/5,19.9
2020/11/6,21.9
2020/11/7,25.9
2020/11/8,21.9
2020/11/9,21.2
2020/11/10,20.9
2020/11/11,21
2020/11/12,20.8
2020/11/13,23
2020/11/14,22
2020/11/15,22.5
2020/11/16,22.8
2020/11/17,23
2020/11/18,23.7
2020/11/19,23.5
2020/11/20,24.9
2020/11/21,24.1
2020/11/22,24.3
2020/11/23,22.5
2020/11/24,21.8
2020/11/25,21.6
2020/11/26,22.7
2020/11/27,22.1
2020/11/28,20.9
2020/11/29,20.1
2020/11/30,19.9
2020/12/1,19.7
2020/12/2,19.6
2020/12/3,18.9
2020/12/4,17.4
2020/12/5,18.7
2020/12/6,19.3
2020/12/7,20.8
2020/12/8,20.8
2020/12/9,19.5
2020/12/10,21.5
2020/12/11,19.5
2020/12/12,19.7
2020/12/13,17.8
2020/12/14,17.8
2020/12/15,15.8
2020/12/16,16.7
2020/12/17,16.6
2020/12/18,16.6
2020/12/19,18.8
2020/12/20,16.3
2020/12/21,16.9
2020/12/22,17.1
2020/12/23,19.4
2020/12/24,19.5
2020/12/25,16
2020/12/26,15.9
2020/12/27,18.7
2020/12/28,18.3
2020/12/29,18.7
2020/12/30,19.7
2020/12/31,9.6
2021/1/1,10.5
2021/1/2,12.5
2021/1/3,12.3
2021/1/4,16.9
2021/1/5,17.9
2021/1/6,15.2
2021/1/7,14.4
2021/1/8,9.5
2021/1/9,8.3
2021/1/10,9
2021/1/11,12.7
2021/1/12,9
2021/1/13,7.3
2021/1/14,10.3
2021/1/15,11.8
2021/1/16,12.7
2021/1/17,14.7
2021/1/18,12.1
2021/1/19,11.3
2021/1/20,14.5
2021/1/21,16.5
2021/1/22,19
2021/1/23,20.1
2021/1/24,18
2021/1/25,15.7
2021/1/26,15.7
2021/1/27,18
2021/1/28,16.7
2021/1/29,14.3
2021/1/30,13.3
2021/1/31,14.9
2021/2/1,15.1
2021/2/2,14.6
2021/2/3,16.1
2021/2/4,15.4
2021/2/5,16.3
2021/2/6,16
2021/2/7,16
2021/2/8,17.4
2021/2/9,17.3
2021/2/10,16.5
2021/2/11,19.1
2021/2/12,17.6
2021/2/13,18.6
2021/2/14,18.9
2021/2/15,15.8
2021/2/16,16.4
2021/2/17,17.9
2021/2/18,14.3
2021/2/19,13.1
2021/2/20,14.2
2021/2/21,14.7
2021/2/22,15.5
2021/2/23,17.1
2021/2/24,18.7
2021/2/25,18.4
2021/2/26,18.3
2021/2/27,17.3
2021/2/28,16.8
2021/3/1,17.1
2021/3/2,23.3
2021/3/3,15.4
2021/3/4,16.8
2021/3/5,18.7
2021/3/6,18.3
2021/3/7,18.2
2021/3/8,16.6
2021/3/9,17.4
2021/3/10,19
2021/3/11,18.1
2021/3/12,18
2021/3/13,18.5
2021/3/14,17.6
2021/3/15,18.2
2021/3/16,20.2
2021/3/17,21.2
2021/3/18,19.6
2021/3/19,19.2
2021/3/20,22.3
2021/3/21,20.7
2021/3/22,15
2021/3/23,14.1
2021/3/24,17.4
2021/3/25,15.4
2021/3/26,16.4
2021/3/27,19.1
2021/3/28,24.2
2021/3/29,22.2
2021/3/30,25.1
2021/3/31,24
2021/4/1,24.4
2021/4/2,24.7
2021/4/3,24.4
2021/4/4,22.8
2021/4/5,18.3
2021/4/6,16.5
2021/4/7,17.7
2021/4/8,19.6
2021/4/9,16.9
2021/4/10,17.2
2021/4/11,19.5
2021/4/12,21.4
2021/4/13,22
2021/4/14,21.5
2021/4/15,18.2
2021/4/16,19.6
2021/4/17,20.8
2021/4/18,22.4
2021/4/19,19.6
2021/4/20,21
2021/4/21,22.9
2021/4/22,23.7
2021/4/23,24.5
2021/4/24,22.2
2021/4/25,22.1
2021/4/26,21.3
2021/4/27,24.5
2021/4/28,22.5
2021/4/29,23.4
2021/4/30,20.8
2021/5/1,24.9
2021/5/2,22.8
2021/5/3,24.8
2021/5/4,24.2
2021/5/5,26.6
2021/5/6,20.4
2021/5/7,24.3
2021/5/8,25.6
2021/5/9,25.5
2021/5/10,26.7
2021/5/11,26.7
2021/5/12,29.4
2021/5/13,27.7
2021/5/14,27.3
2021/5/15,27.9
2021/5/16,28.5
2021/5/17,30.7
2021/5/18,28.2
2021/5/19,28.2
2021/5/20,29.3
2021/5/21,30
2021/5/22,29.2
2021/5/23,27.8
2021/5/24,29.1
2021/5/25,27.1
2021/5/26,27.7
2021/5/27,29.4
2021/5/28,29.2
2021/5/29,28.7
2021/5/30,28.5
2021/5/31,26.8
2021/6/1,26.4
2021/6/2,27.2
2021/6/3,28.6
2021/6/4,29.6
2021/6/5,27.5
2021/6/6,26.9
2021/6/7,26.3
2021/6/8,26.9
2021/6/9,27
2021/6/10,28.4
2021/6/11,28.8
2021/6/12,28.5
2021/6/13,27.7
2021/6/14,29.1
2021/6/15,29.1
2021/6/16,29.5
2021/6/17,29.7
2021/6/18,29.4
2021/6/19,29.9
2021/6/20,29.9
2021/6/21,29.7
2021/6/22,27.8
2021/6/23,25.8
2021/6/24,26.6
2021/6/25,26.4
2021/6/26,26.8
2021/6/27,28.4
2021/6/28,29.2
2021/6/29,29.3
2021/6/30,28.8
2021/7/1,28.8
2021/7/2,29
2021/7/3,29
2021/7/4,29.5
2021/7/5,27.3
2021/7/6,28.6
2021/7/7,27.6
2021/7/8,29.1
2021/7/9,29.4
2021/7/10,29.2
2021/7/11,28.7
2021/7/12,28.5
2021/7/13,28.8
2021/7/14,26.7
2021/7/15,28.8
2021/7/16,28.3
2021/7/17,27.7
